name,date,price,change,%change,open,high,low,volume,value(m)
HTC,2025-03-21,16.5,-0.1,-0.60241,16.5,16.6,16.4,222543,3683.1937000000003
ICHI,2025-03-21,12.6,0,0,12.6,12.8,12.5,4218199,53177.0222
III,2025-03-21,4.8,-0.12,-2.439024,4.92,4.94,4.76,891756,4300.04342
ILM,2025-03-21,13.9,-0.2,-1.41844,14.1,14.1,13.8,662316,9214.2954
IMPACT,2025-03-21,9.65,-0.15,-1.530612,9.8,9.85,9.65,226891,2204.15535
INOX,2025-03-21,0.43,0,0,0.43,0.43,0.42,296702,126.14186
IRPC,2025-03-21,0.97,-0.03,-3,1.01,1.03,0.97,151345464,147745.87128
IVL,2025-03-21,21.2,-0.1,-0.469484,21.4,21.5,21,9339126,198242.9988
3BBIF,2025-03-21,5.7,0,0,5.7,5.7,5.6,6035454,34171.1121
JMART,2025-03-21,9.75,-0.05,-0.510204,9.8,9.95,9.65,8426167,82313.0891
JMT,2025-03-21,13.8,-0.4,-2.816901,14.3,14.5,13.7,18153112,255470.03209999998
KBANK,2025-03-21,164,3.5,2.180685,161,164,161,12281433,1997474.4165
KCE,2025-03-21,19.1,0.2,1.058201,19,19.1,18.8,6669366,126342.5235
KEX,2025-03-21,1.1,-0.41,-27.152318,1.47,1.49,1.06,73019318,88245.55017
KGI,2025-03-21,4.38,0.04,0.921659,4.34,4.4,4.34,884135,3858.99498
KKP,2025-03-21,57.5,0.5,0.877193,57,57.5,56,3228600,183648.3845
KSL,2025-03-21,1.46,0.01,0.689655,1.46,1.49,1.45,468689,687.93277
KTB,2025-03-21,24,0.5,2.12766,23.7,24,23.4,145119901,3442508.086
KTC,2025-03-21,46.25,-0.25,-0.537634,46.25,46.5,46,3956647,182981.36125
LALIN,2025-03-21,5.4,0.1,1.886792,5.3,5.4,5.3,165414,887.92555
LANNA,2025-03-21,15.3,-0.1,-0.649351,15.4,15.4,15.3,252687,3886.1917999999996
LH,2025-03-21,4.42,-0.16,-3.49345,4.54,4.56,4.42,49926576,223239.79894
LHK,2025-03-21,3.28,0.02,0.613497,3.28,3.28,3.26,13523,44.30186
LPN,2025-03-21,2.06,-0.12,-5.504587,2.18,2.18,2.06,21653819,44641.59276
M,2025-03-21,19,-0.9,-4.522613,19.9,20,19,4152476,80169.28709999999
MAJOR,2025-03-21,11.3,0.3,2.727273,11.0,11.3,10.7,1313345,14563.286900000001
MC,2025-03-21,10.1,0.1,1.0,10.1,10.1,10.0,385499,3860.7785
MCS,2025-03-21,7.3,0.05,0.689655,7.3,7.3,7.25,116875,850.4595
MEGA,2025-03-21,32,-0.5,-1.538462,32.5,32.5,31.5,591874,18878.41875
MINT,2025-03-21,27.25,-0.25,-0.909091,27.5,27.75,27,11662794,319005.70225
MST,2025-03-21,8,-0.1,-1.234568,8.1,8.1,7.8,4905,39.26
MTC,2025-03-21,42,-1,-2.325581,42.75,43.25,41.5,6062987,254870.1365
NER,2025-03-21,4.92,-0.02,-0.404858,4.94,4.96,4.92,2519125,12448.347039999999
